微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
PnGjecLsk,":#王者电竞派对结缘孝感##王者荣耀全国大赛# 
🔥 云梦泽奇幻冒险即将开启！来电竞派对邂逅搭子一起解锁互动剧情吧！
📅时间：5月3日-5月4日
📍地点：湖北 ·孝感 · 奥体中心公园
✨【现场高能看点】
1⃣ 一秒穿越云梦泽世界——玄微森林+百景森林+云梦城，实景还原云梦泽场景，打卡拍照轻松出片！
2⃣ 剧情走向由你决定——选择阵营，改变结局，巫神祝or全知者？开放结局，故事因你发生~
3⃣ 组搭子赢好礼——现场匹配神仙队友，协作完成隐藏任务，还不快来邂逅游戏搭子一起畅玩云梦泽！
🎮【玩法简介】
✅ 主线任务：选阵营⚔→做任务→赢奖励！你的命运由你自己主宰！
✅ 支线盲盒：跟着NPC飙戏解锁隐藏剧情？超多丰厚奖励等你来拿！
✅ 阵营battle：完成任务，赚取积分为自己的阵营打榜，解锁阵营专属结局！
🎁更多限定周边奖励等你解锁，快戳图片获取更多攻略！",,https://wx1.sinaimg.cn/large/006dCke7ly1i0jtz967n2j60u068vb2c02.jpg,无,无,2025-04-17 15:30,微博网页版,12149,37,938
PnGe7k1cu,":#王者荣耀联动哪吒# 
王吒组合，强势出击！王者荣耀×电影《哪吒之魔童闹海》联动计划确认！小王为大家准备了限时特别活动——官宣活动限时语音包已上线！参与游戏内“送限时语音”活动即可领取~
活动入口：游戏内大厅-活动中心-精彩活动-送限时语音
活动时间：4月17日-4月23日 ",,https://wx4.sinaimg.cn/large/006dCke7ly1i0jtwkfg55j60ws0iwn2l02.jpg,无,无,2025-04-17 15:17,王者荣耀超话,116347,727,3906
PnG738kNZ,":#高原三宝齐聚王者峡谷##老夫子藏狐皮肤即将上线#
⭐【4月20日截止】为高原三宝爱心捐赠，修复高原野生动物栖息地！
⭐参与活动【免费领】张良栖息地研究员主题皮肤！
⭐首抽仅需【10点券】，张飞-兔狲·蓬尾皮肤祈愿限时开启中！
⭐【最后一天】490点券带走百里守约-雪豹·霜爪皮肤及其按键！
⭐老夫子-藏狐·褐绒皮肤4月18日登场，490点券超值拿下该皮肤及其按键！
更多详情快来戳图了解",,https://wx2.sinaimg.cn/large/006dCke7ly1i0jsp8aqgrj60ku194qr602.jpg,无,无,2025-04-17 15:00,微博网页版,17549,43,1352
PnExDzvub,":#王者荣耀##英雄调整情报# 
本次更新后羿、司空震降温。
后羿：被动增加的攻速降低，由固定数值调整为随等级成长。
司空震：被动强化普攻射程缩小。
更多详细调整请观看视频，快速掌握上分密码，祝大家上分愉快~
*所有调整，请以官网公告为准  王者荣耀的微博视频",,无,"https://f.video.weibocdn.com/o0/bZlD6Osxlx08nxpYMhKg01041200cARs0E010.mp4?label=mp4_hd&template=852x480.25.0&Expires=1745291459&ssig=t5BQnTJzGi&KID=unistore,video",无,2025-04-17 11:00,微博视频号,42725,255,7476
PnyZbsD4P,":#王者荣耀联动哪吒##王者老夫子藏狐皮肤#
王吒组合，强势出击！快跟着本狐来看看本周新内容吧
王者荣耀×电影《哪吒之魔童闹海》官宣合作！签到领限时语音
【老夫子-藏狐·褐绒】、【李元芳-逐浪之夏星元】皮肤即将上架
栖息地研究员主题皮肤【张良-灵野札记】活动免费送倒计时！
累计充值活动开启！夺宝、许愿屋更新！
更多活动详情戳下方公告查看～ 王者荣耀×电影《哪吒之魔童闹海》官宣合作确认，更多惊喜这里看！",,无,无,无,2025-04-16 20:51,王者荣耀超话,56876,376,3408
PnysowNEJ,":#王者电竞派对结缘孝感##王者荣耀全国大赛#
云梦泽⌈神树节⌋来了！CP必冲，超真实实景搭建+超多样神仙玩法，众多神奇体验等你解锁，带TA一起奔赴神树节吧！
📅5月2日 
📍湖北·孝感·奥体中心公园
🌳神树节是云梦泽一年中最有活力的节日，在这一天缔结的缘分，能受到天生木的祝福，真挚绵长——
——线下 · 神树节必来理由——
🌠云梦泽神树首次实景落地，还原神树灵韵
🤝 搭子专属仪式，一同祈愿结缘，共植树苗纪念
🌲线下实景还原沉浸式森系奇境
📜孝感非遗惊喜联动
——线上 · 神树认领计划上线——
✅ 专属地标树
与搭子绑定认领，14天互动积攒能量，你们的专属树苗将扎根“现实云梦泽”！
✅ 天选搭子认证
完成任务即可获得官方CP证书，秀恩爱新姿势get√
✅ 豪礼放送
小乔史诗皮肤、200Q币、专属荣耀播报还有更多必得好礼等你来！
⏰ 活动时间：4月16日-4月29日
🎋 一树成双，一愿成真
❤5月2日，与有缘之人共赴这场契约 
🎇参与神树认领计划活动速速来【评论区】了解详情~",,https://wx2.sinaimg.cn/large/006dCke7ly1i0ivd5qxnxj66de3e01l402.jpg,无,无,2025-04-16 19:30,无,2753,58,487
Pnx4UcXSa,":#王者荣耀联动大美青海三江源##王者策划高原干农活#
藏狐归队咯！兔狲、雪豹和藏狐集结，好事发生～
守护野区这场行动超想和大家一起的！这是一次皮肤共创，一场公益助力，一期联合直播，更是一次你我亲身奔赴的行动。
让更多人知道三宝们的故事，也让更多人用自己的方式参与到生态保护工作中，小王依旧希望可以持续和大家一起做一些有趣美好的事情。
感谢新华社客户端的联合直播，感谢中共青海省委宣传部，三江源国家公园管理局，@山水自然保护中心，腾讯基金会，腾讯公益的支持，也致敬每一位高原的生态守护者！",,https://wx4.sinaimg.cn/large/006dCke7ly1i0io13588yj60v976c1l002.jpg,无,无,2025-04-16 16:00,微博网页版,1957,11,329
PnvLIf05F,":#王者哪吒联动官宣##王者哪吒携手点亮双子塔#
今夜王吒来袭，携手荣耀登塔！
今晚19点，成都地标性建筑成都·天府双塔将为王者荣耀×电影《哪吒之魔童闹海》联动计划举办亮灯仪式，小王和吒儿将携手登塔，在52000㎡巨幕与大家见面！
本狐今晚会蹲守天府双塔现场，一起来塔下偶遇互动，打卡见证亮灯时刻吧！
中国 · 成都 · 天府双塔
2025年4月16日-5月5日，每晚点亮
王吒会双塔，英雄耀夜空！ 王者荣耀的微博视频",,无,"https://f.video.weibocdn.com/o0/Ce1FqiI2lx08nvWUdVYs01041200dsjW0E010.mp4?label=mp4_hd&template=540x960.24.0&Expires=1745291469&ssig=j27NLY%2BJvv&KID=unistore,video",无,2025-04-16 12:39,微博视频号,21137,310,1764
Pnvzncb0S,":#王者荣耀联动哪吒#
王吒组合，强势出击！王者荣耀×电影《哪吒之魔童闹海》联动计划确认！
此次合作包括哪吒、敖丙等四位角色的联动皮肤，将于后续择期上线。作为@电影哪吒之魔童闹海 的首个官宣联动游戏伙伴，小王将携手吒儿，带大家共燃热血，一起让国创拥有更多可能~敬请期待~
此次官宣，小王也为大家准备了限时特别活动——官宣活动限时语音包将于4月17日版本更新后上线，参与游戏内活动即可领取~小王与你，一起期待后续联动皮肤的正式上线，届时来峡谷和哪吒一起，踏辟前路，扭转乾坤！ 王者荣耀的微博视频",,无,"https://f.video.weibocdn.com/o0/7PtePf2olx08nvUOcLvG01041200b8Ix0E010.mp4?label=mp4_hd&template=540x924.24.0&Expires=1745291472&ssig=yeZyZHjniX&KID=unistore,video",无,2025-04-16 12:09,微博视频号,748066,27420,231113
Pnv1quc5i,":#刘禅米莱狄源梦新皮肤##源梦大赛最终投票#
【最后一天！】源梦新皮肤即将诞生！
刘禅&米莱狄源梦皮肤设计大赛【最终投票】今晚23:59截止！本狐已经在开始期待源梦新皮肤啦！大家也赶紧把握住最后的投票时间助力自己喜欢的作品更进一步吧！
投票通道：游戏内大厅-活动-【选新源梦皮】
期待与你一起见证刘禅米莱狄新源梦皮肤的诞生！",,https://wx4.sinaimg.cn/large/006dCke7ly1i0igfxk739j60pc0g443302.jpg,无,无,2025-04-16 10:45,王者荣耀超话,1573,12,367
Pnpx3m1R9,":#王者荣耀联动大美青海三江源##王者三江源联动系列皮肤# 
这次，我们守护的野区，在触摸天空的三江源。
这里有连绵的雪峰，广袤的草原，丰美的湿地，四季各异的壮美风景。
三江源这片广袤的高原大地，不仅是孕育了我们文明的长江、黄河和澜沧江的源头，也是许许多多珍惜动物的家园。
小王在中共青海省委宣传部的指导下，围绕兔狲、雪豹、藏狐推出【雪原灵野】生态保护系列皮肤。而在这“高原三宝”之外，这里还生活着黑颈鹤、金雕、野牦牛、藏野驴、白唇鹿、藏原羚......
它们自由而野性地与我们共享这片大地。感谢玩家们对游戏内【守护高原三宝】公益活动的参与，守护好这些生灵，我们才能守护好这一方人间的高地。
保护我方野区，期待每一个人的参与。",,https://wx2.sinaimg.cn/large/006dCke7gy1i0hs7m7wc6j64g0230b2i02.jpg,无,无,2025-04-15 20:47,王者荣耀超话,2754,32,547
PnouCsNgj,":#王者老夫子藏狐皮肤##王者老夫子红霸狐蓝霸狐#
兔狲、雪豹和藏狐因为在表情包界的地位，而被合称“高原三傻”。但在表情包之外，它们真的傻吗？
我们以藏狐的外（du）形（te）特（da）征（lian）为灵感，为老夫子设计了全新形象——以冷浅色为主，参考高原特色服饰设计，加入手工藏狐毛毡及花纹、绳编、串珠并点缀毛边，凸出藏狐所处地区高寒气候的同时，也象征着人文与自然的交融。头发与长长的胡须相连，还原了藏狐白褐相接的温暖毛色，胡须中还藏着一只藏狐之灵。老夫子头顶硕大厚实的绒帽，身后还有一条绒绒的藏狐尾巴。原有的戒尺和明灯均改为藏狐造型，将象征冰雪能量的水晶镶嵌其中，挂着的布袋中藏狐之灵也蜷缩其中。
特效设计上采用藏狐元素并融入高原冰雪进行氛围渲染，配合轻盈活泼的音效，营造出藏狐不同于憨憨外在的灵动机敏。
藏狐是青藏高原特化的犬科动物，广泛分布于青藏高原高寒的草原及山地地区。“高原三宝”的生存状况可以很好地反映整个高原的生态环境状况，从这个角度上说，它们就像是三座高地防御塔。保护好它们，就等于保护好了整个高原生态。
角色介绍
藏狐一族的长老据传是这片土地上最聪明也是最快乐的存在，每天乐呵呵，教导小藏狐们如何捕猎、如何避开那些讨厌的天敌。略显“憨厚”的外表，实在令大家难以将他与传说中的英雄联系在一起——传闻，藏狐长老曾与兔狲、雪豹部落的勇者一起进山寻访神明，为大家祈求丰饶富裕的生活。
每当小藏狐们好奇地问起往事，长老总会笑着捋捋胡子，缓缓开口——
“来自藏狐、雪豹与兔狲的勇者们一起踏上了寻找山神的旅途，却在山里遇到了雪崩，好在有智慧的藏狐长老操控山风，吹歪了雪流——那么问题来了，当风速为多少时，他们可以顺利逃脱呢？”
皮肤故事为设定演绎，现实中藏狐具有较为复杂的育幼行为，小藏狐能够从亲代藏狐身上学到很多生活技能。
角色设计
藏狐是青藏高原特化的犬科动物，广泛分布于青藏高原高寒的草原及山地地区。藏狐拥有厚而密实的毛被，毛色呈白灰色与黄褐色相交。与方方正正显得憨厚的大脸不同，它们行动起来十分敏捷且警惕性高。基于藏狐的以上特征，我们为老夫子设计了全新的形象。
◆颜色设计：整体采用浅色、冷色，以突出风雪之地的感受。帽子、头发、胡子的暖色沿用藏狐本色，暗示老夫子的身份。
◆发型设计：长发与胡须相连，白褐相交，胡须的绑带呈藏狐图腾造型，长长密密的胡子也是藏狐之灵可以躲藏的“洞穴”。头顶戴着硕大厚实的绒帽，帽上探出的耳朵不小心暴露了老夫子的身份。帽上还立着藏狐造型的小饰品，金光闪闪。
◆服饰设计：参考高原特色服饰设计，在各处点缀毛边，衬托所处地区的寒冷气候。
◆配饰设计：藏狐形象的毛毡配饰，搭配具有民族感的图腾花纹、绳编、串珠，突出人文与自然的交融。为了凸显老夫子是藏狐一族的长老，本次还为他加入了狐尾设计。
◆武器设计：原有的戒尺和明灯均改为藏狐造型，将象征冰雪能量的水晶镶嵌其中，散发出神秘的光芒，挂着的布袋中窝着一只小小的藏狐之灵，是老夫子在刚刚的雪崩中救下的。
场景设计
以藏狐栖息的高原地区为蓝本，采用水彩晕染的表现手法，呈现出冬季草地的荒凉和冷寂，打造出一方略带梦幻感的冰雪秘境。中景处的藏狐像、被经幡缠绕的图腾柱与远处的营帐相呼应。藏狐长老立于此，也是为了守护自己的部落和家园。
展示动画设计
寒风中，一只迷途的藏狐正在眺望远方，浑然不知雪崩将至。关键时刻，老夫子及时赶到，拎起藏狐挂在灯杆上。雪崩滚滚而来，老夫子在雪地左右疾速横跳，灵活躲避。同时不忘亲身传授小藏狐雪境生存之道。待老夫子高高跃起，巧妙避开雪崩，这场危机终于解除。
美宣图设计
记录下了雪山中的一幕险境——与兔狲、雪豹结伴而行时突遇巨大的雪球滚落，藏狐长老连拎带藏，抓起两只藏狐之灵，一边招呼同行的伙伴，一边带领众藏狐十分熟练且快速地穿越危险。对他们来说，刺激的旅途才刚刚开始。
技能特效设计
以藏狐作为主要设计点，融入高原冰雪进行氛围渲染。
音乐音效设计
◆音乐设计：
老夫子藏狐的音乐设计以口弦的悠远音色开篇，象征老夫子的智慧与沉稳。民族打击乐轻快的节奏穿插其中，配合大阮的低音拨弦，营造出风趣幽默的氛围。小提琴solo以灵动的旋律刻画藏狐的顽皮搞怪，时而跳跃，时而俏皮，充满戏剧性。管弦乐作为背景，以温暖的音色烘托整体氛围，低音部分稳重，高音部分轻盈，既展现老夫子的睿智，又突显藏狐的活泼，整体音乐诙谐而不失深度，智慧与幽默并存。
◆音效设计：
音效设计上，我们通过高原簌簌抖落的空灵震颤声、雪粒在阳光下崩落的细碎晶响、藏狐幼崽打滚时绒毛蹭过冰草的沙沙声，以及雪地小爪印绽开时噗叽噗叽的萌动气音等声音元素，在听觉上塑造老夫子灵动机敏的雪域欢狐形象。
*此为研发过程中录制，所展示内容仅供参考 王者荣耀的微博视频",,无,"https://f.video.weibocdn.com/o0/uSgYajR0lx08nuIzbJS001041201seB00E010.mp4?label=mp4_hd&template=1040x480.25.0&Expires=1745291489&ssig=xpQFsqaAbl&KID=unistore,video",无,2025-04-15 18:08,微博视频号,7912,113,1368
PnnEplVkh,#2025腾讯游戏发布会#咳咳！小伙伴们请注意！！2025腾讯游戏发布会将于4月22日20:00整召开，今年的发布会上小兵又将带给大家哪些全新爆料呢？点击预约直播SPARK2025腾讯游戏发布会，一起期待吧～  原图 ,,https://wx1.sinaimg.cn/large/006dCke7ly1i0hippjph5j61401z47wh02.jpg,无,无,2025-04-15 16:00,微博网页版,1667,33,381
PnngRFfJc,":#王者老夫子藏狐皮肤##王者老夫子红霸狐蓝霸狐#
尽管已经在金身摄影大赛出道，现实中，对于兔狲们的研究相对还较少。除了红外相机外，监测项圈等手段也能为我们进一步认识和保护这些物种提供更多的帮助。
高原三【宝】们的生活，也期待着每一位金身摄影师的关注和参与。
但是等等，我们一起守护的不是红蓝霸狐么？为什么藏狐还不登场？已经在录制了！马上就来！         [",,"https://ww3.sinaimg.cn/large/006dCke7ly1i0hhyf2hnhj6140280b2902.jpg,https://ww1.sinaimg.cn/large/006dCke7ly1i0hhyg9wd1j61408w0kjo02.jpg,https://ww4.sinaimg.cn/large/006dCke7ly1i0hhyfyhxuj61406o0npf02.jpg",无,无,2025-04-15 15:02,微博网页版,2138,32,328
,#王者荣耀# 官宣！地球常驻民今日正式上岗——峡谷轰炸专家·卤蛋灵魂治愈歌姬·菜姬全球最佳组合，谁赞同谁反对！现在，请你们速速加入卤蛋菜姬保护协会关注+转发，本狐将随机抽取5位小伙伴送出【传说皮肤礼品卡】~ http://t.cn/A6BlhUuB  http://t.cn/A6rLx9yI ,,,,,2025/3/20 15:12,,2592,897,744
